day;amountOfAnimalsOnTheMap;theMostPopularGenotype;averageLevelOfEnergyOfAnimals;avgAmountOfChildren;avgLifeTimeForDeadAnimal;amountOfGrassOnTheMap;amountOfEmptyFieldsOnTheMap
230;45.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];235.71;1.76;89.44;135.0;765.0
231;47.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];227.19;1.77;89.44;131.0;769.0
232;49.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];219.53;1.78;89.44;127.0;773.0
233;49.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];220.39;1.78;89.44;124.0;776.0
234;49.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];221.39;1.73;90.88;121.0;779.0
235;48.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];226.04;1.69;90.61;120.0;780.0
236;48.0;[6, 4, 2, 2, 3, 0, 2, 1, 6, 0, 4, 3, 6, 5, 7, 6, 1, 2, 6, 0, 1, 7, 2, 6, 0, 3, 0, 3, 5, 7];226.06;1.71;91.16;119.0;781.0
237;49.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];221.41;1.71;91.16;118.0;782.0
238;50.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];216.68;1.72;91.16;117.0;783.0
239;52.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];207.75;1.73;91.16;116.0;784.0
240;52.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];208.33;1.73;90.4;113.0;787.0
241;54.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];199.93;1.74;90.4;113.0;787.0
242;56.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];192.13;1.75;90.4;113.0;787.0
243;56.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];190.98;1.75;88.48;114.0;786.0
244;56.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];191.59;1.75;88.48;111.0;789.0
245;59.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];181.29;1.76;88.48;110.0;790.0
246;58.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];183.02;1.76;86.68;110.0;790.0
247;57.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];185.07;1.75;85.04;110.0;790.0
248;59.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];176.97;1.76;85.04;112.0;788.0
249;60.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];173.62;1.73;89.44;111.0;789.0
250;59.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];175.68;1.73;90.77;111.0;789.0
251;60.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];170.72;1.73;90.77;113.0;787.0
252;61.0;[0, 4, 1, 0, 1, 3, 2, 3, 1, 2, 6, 3, 3, 5, 0, 6, 3, 3, 7, 7, 0, 3, 4, 2, 5, 3, 5, 3, 4, 3];167.59;1.74;90.77;111.0;789.0
